bridge :  reliability, ADT, length, cost
(5, 9):0.817911772616,651,70.0010228567, 4.41049227975
(11, 14):0.817911772616,544,68.4009074373, 4.33048650878
(5, 6):0.817911772616,2163,51.6757217448, 3.49422722416
(8, 9):0.817911772616,754,32.394375823, 2.53015992807
(13, 17):0.817911772616,1326,39.4297457087, 2.88192842236
(17, 19):0.757960551365,1472,40.5416996043, 3.23728222339
(7, 11):0.817911772616,331,52.7972940592, 3.55030583988
(2, 5):0.817911772616,2047,68.539190283, 4.33740065107
(22, 24):0.686637386204,1874,30.2822542946, 3.08092578371
(1, 2):0.659636861746,2197,37.2834627552, 3.56598882903
(4, 9):0.691637859854,1726,66.5979486517, 4.87170813332
(12, 13):0.773657798937,387,40.1934764388, 3.14138482726
(6, 10):0.817911772616,2437,56.6450707321, 3.74269467353
(13, 16):0.792262327136,2849,38.9230381477, 2.98484027171
(15, 16):0.817911772616,1714,47.3502226807, 3.27795227096
(23, 25):0.68973767786,929,58.3078853646, 4.46670587893
(17, 18):0.817911772616,1162,78.165789185, 4.81873059617
(21, 26):0.671665685775,2805,36.2046640294, 3.45190477259
(20, 22):0.713410738607,784,38.0210904987, 3.3340008319
(6, 11):0.817911772616,2644,34.0076854589, 2.61082540987
(10, 13):0.817911772616,592,46.767538797, 3.24881807677
(1, 4):0.763119071487,1932,52.7463502257, 3.82172215385
(17, 22):0.817911772616,743,77.8050323058, 4.80069275221
(22, 29):0.749803810065,2947,49.7758090301, 3.73977140118
(16, 19):0.817911772616,1528,61.3160819596, 3.9762452349
(23, 24):0.724070556445,2190,39.6320327994, 3.36124885774
(3, 5):0.817911772616,1535,65.2756613467, 4.17422420426
(9, 10):0.708873142821,896,76.6481200038, 5.28804028608
(20, 23):0.652380182676,1356,62.427145406, 4.85945635692
(26, 27):0.827919190226,733,72.0587357231, 4.46334083502
(27, 28):0.726115800432,2995,75.6888421125, 5.15386310346
(18, 20):0.817911772616,1823,57.7699832901, 3.79894030142
(19, 22):0.817911772616,607,70.9009096679, 4.45548662031
(10, 14):0.768022944265,1996,45.470296457, 3.43340010152
(9, 12):0.817911772616,464,77.3539003001, 4.77813615193
(19, 21):0.817911772616,903,75.0576021494, 4.66332124439
(22, 30):0.786820198545,1322,68.6750351084, 4.4996507627
